Symbol,beta,dy,pe,roe
AQST,0.09348622433700036,nan,-1.5764706,nan
AMSF,0.3953270593206312,0.0256,19.189655,0.15515
AXSM,0.07545604662058718,nan,-100.74648,-2.98967
AMRS,0.07791489432532167,nan,-1.7395746,nan
CMC,0.32960622024868524,0.0138,8.427797,0.31344
BABA,0.1659323271392002,nan,9.701032,0.02283
CUZ,0.4216593531729244,0.0615,34.078125,0.03621
BY,0.2823866260554781,0.0187,7.7091637,nan
CECO,0.21810867870005335,nan,13.658823,0.08612
AWH,0.0483609656156759,nan,-2.6807694,-1.4725101
CDW,0.5333585788591841,0.0143,15.968926,0.96535003
CMA,0.2675797903277125,0.0698,5.567394,0.19739
ADV,0.10631537871621222,nan,2.0983605,-0.72265
CNNE,0.36402125843042754,nan,46.769234,-0.14187999
AHT,0.029016975692342427,nan,-0.7249467,nan
CIR,0.17817891177080705,nan,14.13198,0.13245
AR,0.10081288226628855,nan,6.7617645,nan
AMTB,0.2255573031734372,0.0194,7.072243,0.09101
ASMB,0.12053747086637646,nan,-1.2682927,-0.74002
CCI,0.4997199603964125,0.0521,35.37069,0.21915
CUBI,0.21093819369201225,nan,3.6644294,nan
CCRN,0.14382772127365429,nan,6.763077,0.4994
ASTS,0.07204454295977578,nan,-2.6683416,-0.28972998
CIG,0.20890330638128451,0.0646,40.333336,0.19854
COTY,0.1672072320158249,nan,26.977272,0.03809
BLU,0.052831009444080826,nan,-16.2809,-0.22277
AMNB,0.28963147708485004,0.0433,9.79322,nan
CVCY,0.23571710354883274,0.0357,6.2393165,0.14733
AA,0.19179038646577629,0.0112,10.955751,-0.11902001
ALE,0.4244246834175359,0.0435,15.364532,0.04178
BLX,0.28769403457700143,0.0554,7.03125,nan
APPS,0.1450000413101276,nan,10.025641,0.093030006
BRKR,0.433970190755666,0.0026,27.380621,0.26933
CCI,0.49972044540195437,0.0521,35.37069,0.21915
CTXR,0.0353775424298134,nan,2.6851852,-0.24832001
AIH,0.03498581268697083,nan,2.8292682,nan
AEE,0.5096671267374573,0.028299998,18.97015,0.10544
AIN,0.3152050365399518,0.0116,21.716667,nan
ASXC,0.029612861910510716,nan,-2.9090908,-0.56202
AAIC,0.18444847914542964,nan,7.457143,0.02458
AX,0.3225568783069724,nan,8.1177635,0.15687001
AEHR,0.06461034011563142,nan,24.264706,0.25288
ADIL,0.027262488344281754,nan,-1.0132353,-3.7532
CHKP,0.5122921933875808,nan,14.522234,0.25763
BCTX,0.03034213997331406,nan,-5.276596,-3.09727
APPF,0.26215557358669234,nan,225.19354,-0.24202
BEN,0.4039638749624993,0.045900002,10.220531,0.069070004
CAC,0.335313561641227,0.052800003,10.04717,nan
